COUNTRY_AREA_TERRITORY,iso3,WHOREGION,month_start,cases,deaths
Croatia,HRV,EURO,01-06-23,0,0
Croatia,HRV,EURO,01-07-23,0,0
Croatia,HRV,EURO,01-08-23,0,0
Croatia,HRV,EURO,01-09-23,0,0
Croatia,HRV,EURO,01-10-23,0,0
Croatia,HRV,EURO,01-11-23,0,0
Croatia,HRV,EURO,01-12-23,0,0
Croatia,HRV,EURO,01-01-24,0,0
Croatia,HRV,EURO,01-02-24,0,0
Croatia,HRV,EURO,01-03-24,0,0
Croatia,HRV,EURO,01-04-24,1,0
Croatia,HRV,EURO,01-05-24,0,0
Cuba,CUB,AMRO,01-08-22,2,1
Cuba,CUB,AMRO,01-09-22,1,0
Cuba,CUB,AMRO,01-10-22,1,0
Cuba,CUB,AMRO,01-11-22,4,0
Cuba,CUB,AMRO,01-12-22,0,0
Cuba,CUB,AMRO,01-01-23,0,0
